id,username,email,role,Make,Acceleration 0 - 100 km/h,Top Speed,Electric Range,Total Power,Total Torque,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Maintenance Cost,Battery Capacity,Pincode,Date,Time,Location Longitude,Location Latitude,Status,Drive,Battery Level,Range
22,robertabbott,tfrancis@yahoo.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2629.88,82,35045,16-06-2024,01:54:23,-1.088756,-26.910304,0,Rear,53,257.05
23,lukekelly,michelle38@anderson.net,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1501.08,78,93346,03-07-2024,10:37:38,95.22249,-12.193201,0,Front,95,460.75
24,aguirrecassandra,stevenandrews@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1987.64,82,60825,28-08-2024,08:11:54,-124.022868,85.567883,0,AWD,43,208.55
25,kbrown,dhansen@woods-mccarthy.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3854.05,82,89893,17-05-2024,20:13:40,87.896255,38.009423,0,AWD,100,485
26,ashley09,ipadilla@yahoo.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3371.08,82,28708,14-09-2024,07:08:55,-159.767658,87.972186,0,AWD,68,329.8
27,mark98,katiebaird@hotmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4133.75,82,41717,03-01-2024,13:14:49,98.206291,78.369247,1,Rear,48,232.8
28,briana19,ucross@wright.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1845.27,83.9,24256,12-01-2024,02:22:18,167.835995,-25.893032,0,Rear,37,179.45
29,riveraclinton,yballard@hotmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1303.75,82,62682,23-02-2024,15:38:52,-141.240702,-23.521501,1,AWD,92,446.2
30,collinsgregory,victor24@yahoo.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2690.29,78,26794,29-03-2024,03:22:03,-8.54755,-19.807181,0,Front,69,334.65
31,morgankaren,suarezbruce@hotmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1829.97,82,8253,22-09-2024,14:50:45,-138.874608,-46.64157,0,AWD,38,184.3
32,aarongalloway,murphykevin@elliott.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4208.64,82,83925,29-08-2024,20:41:09,158.280318,72.113844,0,AWD,95,460.75
33,theresadavis,audrey72@hernandez.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3597.12,82,70963,04-11-2024,15:38:58,93.689235,-6.299549,1,Rear,99,480.15
34,daniel29,jimenezcarrie@mora.net,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4486.36,82,51467,31-10-2024,11:58:55,61.378359,-24.364412,1,AWD,65,315.25
35,morganmichael,zlopez@howard.org,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4208.66,82,13448,20-07-2024,15:51:28,-163.178781,-48.060536,1,AWD,96,465.6
36,rhonda99,justintaylor@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3173.99,78,38899,31-08-2024,05:18:34,-96.86167,24.060094,0,Front,58,281.3
37,fbennett,jgarcia@lynch-torres.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4802.82,82,90161,28-09-2024,21:41:58,-27.853838,-60.150167,0,AWD,37,179.45
38,lopezchristopher,jocelyn80@rasmussen.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2317.63,83.9,46607,27-07-2024,06:50:52,-47.561373,-43.017799,0,Rear,69,334.65
39,hrodgers,erin03@bryant.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2871.74,82,93878,04-05-2024,12:24:45,-155.561521,-77.864045,0,AWD,99,480.15
40,tylerduncan,weeksjamie@wilson.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3971.74,82,23708,31-05-2024,05:06:04,-130.520814,56.331256,1,AWD,36,174.6
41,jwilliams,nicole69@shields.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1697.23,78,54136,25-09-2024,04:53:02,-165.018765,-14.707687,1,Front,37,179.45
42,mbennett,carol60@hotmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3367.85,82,59369,20-02-2024,00:51:06,39.586185,29.746361,0,AWD,74,358.9
43,chadwilson,ijones@jackson-singh.biz,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4617.13,78,37831,27-07-2024,11:29:49,-24.335704,-36.937823,0,Front,42,203.7
44,daniel16,peterstyler@holmes.info,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2403.1,83.9,63260,12-02-2024,00:38:32,-40.927022,8.040898,1,Rear,41,198.85
45,whitakerjack,ryanwood@thomas.net,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2006.06,82,25269,25-10-2024,07:11:31,-13.756548,13.774525,0,Rear,40,194
46,bradley02,sandra57@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4672.54,78,84929,22-01-2024,02:37:11,-70.378364,83.313487,1,Front,74,358.9
47,staceywagner,courtneyrogers@gonzales.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2659.62,82,79361,24-07-2024,11:17:17,-23.414568,-7.75326,1,AWD,53,257.05
48,douglasbrandt,cohenrobert@smith.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3297.39,82,49046,15-01-2024,09:00:59,-127.844869,24.727627,0,AWD,64,310.4
49,adamsmith,hmack@gill.org,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1767.94,82,72011,29-01-2024,23:11:59,52.652471,20.575493,0,Rear,64,310.4
50,ppineda,gina67@hotmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4260.58,82,31652,22-09-2024,23:49:55,-88.407424,-30.207978,0,AWD,53,257.05
51,michael77,xherrera@thomas.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,4625.81,83.9,51416,09-04-2024,16:36:17,8.217255,29.728128,0,Rear,96,465.6
52,reynoldskevin,ijenkins@archer.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2803.12,83.9,27777,06-06-2024,12:10:58,-173.943984,27.390023,0,Rear,46,223.1
53,cquinn,ucox@hotmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1369.68,82,52783,21-02-2024,21:51:23,43.237696,-84.364424,0,AWD,87,421.95
54,johnmarquez,rachel86@schneider-lewis.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3913.26,83.9,62135,12-02-2024,01:56:04,-10.955874,-21.660071,1,Rear,90,436.5
55,xevans,gonzalezmatthew@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3791.72,82,86962,29-05-2024,13:17:06,167.621908,68.640552,0,AWD,69,334.65
56,sherryjohnson,lbradley@terrell-becker.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3714.83,82,84549,05-06-2024,10:06:18,-63.944309,39.144354,1,Rear,62,300.7
57,edwardstewart,kathryntucker@fitzpatrick.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1448.68,82,89130,07-02-2024,01:16:31,-147.767134,10.810313,0,AWD,96,465.6
58,smithsamantha,melissa55@manning.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1322.43,82,9154,20-05-2024,12:10:40,79.926868,-13.371814,1,AWD,41,198.85
59,talvarez,kevin82@martin.net,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2175.35,82,81541,08-06-2024,01:56:56,-177.08846,-84.673928,0,AWD,85,412.25
60,rgraves,beckdwayne@davis-williams.biz,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4574.52,82,62473,27-05-2024,22:01:48,163.426882,39.473991,1,Rear,84,407.4
61,willisvanessa,lrichards@yahoo.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3227.1,82,3103,09-07-2024,17:28:36,63.661054,35.128767,1,AWD,89,431.65
62,nicole15,dennisevans@rangel-rodriguez.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4833.79,82,83629,04-05-2024,09:14:46,-171.802838,46.669815,0,AWD,33,160.05
63,gomeztonya,howellbrittany@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3585.47,78,48370,08-04-2024,18:16:04,156.954216,56.138033,1,Front,86,417.1
64,tina07,brettallen@yahoo.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1941.29,83.9,34987,23-06-2024,00:32:24,1.823124,-78.878598,0,Rear,30,145.5
65,nelsonwanda,cookanthony@hotmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3998.44,82,1900,12-10-2024,05:06:27,74.734432,60.940144,1,AWD,75,363.75
66,oscar76,dominguezjoseph@yahoo.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4191.79,78,44493,22-05-2024,07:16:02,-61.110747,-45.779528,0,Front,48,232.8
67,vrussell,jennifer83@campbell-miller.info,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3287.11,78,88556,02-02-2024,04:39:12,95.568444,-40.289781,0,Front,69,334.65
68,michelle10,sanchezgregory@moore.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4762.63,78,10385,04-01-2024,22:11:50,-173.069138,34.345256,1,Front,81,392.85
69,molly91,vwelch@rodriguez.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4953.31,78,98289,01-02-2024,11:41:13,73.650821,69.82243,0,Front,59,286.15
70,smithlatasha,brendanmiller@garrett-lee.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3556.21,82,93331,11-07-2024,17:39:35,134.095487,56.081254,1,AWD,42,203.7
71,taylordennis,alopez@thompson.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3532.75,82,19361,29-07-2024,11:47:48,-7.547238,10.985619,0,AWD,48,232.8
72,warnercharles,katelyn32@reid-vargas.org,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,4893.15,83.9,54539,15-07-2024,01:47:25,169.412613,85.794552,0,Rear,96,465.6
73,ronaldsummers,penatammy@campbell-martin.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2796.98,82,8730,10-07-2024,17:10:07,-150.181899,-34.887009,1,AWD,49,237.65
74,harveylisa,vsmith@davis.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2166.17,83.9,91999,21-09-2024,22:54:34,63.443581,35.615312,1,Rear,74,358.9
75,carrolljessica,zhoward@yahoo.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3307.11,83.9,49055,13-07-2024,16:24:55,31.711079,44.440826,0,Rear,39,189.15
76,vedwards,brendawilliams@ortiz-hobbs.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2256.43,83.9,53354,29-06-2024,12:57:45,-167.19566,84.73126,1,Rear,80,388
77,douglaschristensen,markskristina@yahoo.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1948.68,83.9,83363,28-02-2024,14:16:05,4.285245,84.08485,1,Rear,64,310.4
78,hamiltonlisa,brittanywhite@smith.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1429.67,83.9,36007,11-05-2024,06:20:25,-150.659508,-70.090638,0,Rear,58,281.3
79,tmyers,jameslawson@yahoo.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3963.51,83.9,57236,17-06-2024,08:43:53,-47.115875,62.659706,0,Rear,72,349.2
80,gomezdaniel,jfranklin@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3363.85,78,68496,10-07-2024,03:13:26,-90.732753,-57.845401,0,Front,58,281.3
81,thenry,crystal96@martinez.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3230.85,82,90745,19-02-2024,15:37:26,-117.26511,-56.620596,1,AWD,90,436.5
82,cbrown,usanchez@hotmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2754.61,82,31098,01-05-2024,23:02:02,171.05418,-31.220829,1,AWD,84,407.4
83,angela95,tammyharrington@maddox.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4490.66,78,33150,08-07-2024,20:21:23,29.812349,-63.654562,0,Front,31,150.35
84,edwardsnicole,cindymiller@yahoo.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3473.14,82,61146,22-08-2024,05:36:57,132.975515,30.133266,0,AWD,77,373.45
85,colekimberly,michaelstrickland@yahoo.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1503.64,82,32821,27-03-2024,00:51:30,165.93974,-67.878506,1,AWD,58,281.3
86,michael97,sue75@ware.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3387.23,78,78827,22-08-2024,14:58:41,-132.314452,19.054962,0,Front,30,145.5
87,mossjames,krystalhenderson@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,4428.74,83.9,39583,11-04-2024,09:55:24,-20.400306,40.234977,0,Rear,96,465.6
88,anthony61,jparsons@yahoo.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1590.34,83.9,82537,28-05-2024,04:05:50,-176.52979,-52.223674,1,Rear,32,155.2
89,gblake,thill@hotmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4728.2,82,59920,20-04-2024,22:17:13,122.003668,58.088426,0,AWD,85,412.25
90,marcussmith,angela52@decker-brooks.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4789.05,78,82930,17-06-2024,13:51:31,-5.146285,38.713109,1,Front,40,194
91,nthompson,mario90@brown.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,4060.9,83.9,9400,24-02-2024,06:59:08,53.834306,16.380579,1,Rear,54,261.9
92,shelbyyoung,matthew65@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2765.74,78,65048,04-06-2024,19:36:23,121.16873,-82.151651,1,Front,79,383.15
93,zmay,olsenshane@farmer.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3457.5,82,31861,22-01-2024,13:28:19,38.51813,63.222767,1,AWD,74,358.9
94,williamsmegan,owilliams@dodson.net,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3565.05,82,42373,05-05-2024,23:49:23,36.24054,58.387158,0,AWD,55,266.75
95,wsmith,tjohnson@hotmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3584.98,82,54887,01-08-2024,04:38:23,-39.242648,85.360403,1,Rear,41,198.85
96,brittanyclark,baileychristopher@yahoo.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4633.39,78,67236,17-11-2024,16:41:42,-55.808777,14.23328,1,Front,71,344.35
97,edwinsmith,angela86@gmail.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,1461.12,83.9,26923,19-10-2024,10:33:49,142.417562,-53.578518,1,Rear,84,407.4
98,james46,shannon79@powers.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1889.35,82,5961,30-05-2024,07:57:39,-16.263448,-34.666694,1,Rear,91,441.35
99,jameshudson,oliviameyers@yahoo.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3359.73,82,61289,22-01-2024,21:41:56,-89.991075,-8.086444,1,Rear,70,339.5
100,ashleywilkerson,williamcollins@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,1367.87,82,24214,09-05-2024,22:10:54,99.510338,-41.727028,1,Rear,79,383.15
101,dcortez,samanthacastillo@hotmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3373.18,82,37901,04-11-2024,23:30:05,91.49857,57.482961,1,Rear,34,164.9
102,jensennicole,vincentstacey@turner.org,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1186.79,82,21405,07-02-2024,16:34:05,78.57461,-35.478507,1,AWD,85,412.25
103,debbiemaddox,ramirezdesiree@yahoo.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,4370.72,83.9,5087,16-02-2024,11:54:47,38.70098,-88.412433,0,Rear,38,184.3
104,stephen31,hthompson@hardy.org,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2494.29,82,91585,04-08-2024,19:06:39,-20.369019,-43.61054,0,AWD,70,339.5
105,warnertimothy,camerongregory@johnson.info,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3621.22,78,54558,08-03-2024,19:18:22,-165.59775,-1.860912,1,Front,63,305.55
106,douglassusan,jennifer34@gmail.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4680.37,82,88482,15-04-2024,12:00:59,90.144935,34.809896,1,AWD,51,247.35
107,ppatrick,shansen@conner-baldwin.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4005.7,82,38055,21-05-2024,14:11:56,-139.699087,87.283919,1,AWD,79,383.15
108,stephen78,donna58@thomas.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2456.61,78,76550,05-06-2024,20:12:35,83.504522,32.594491,1,Front,68,329.8
109,katrina27,susan19@yahoo.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2788.97,82,18541,09-05-2024,18:12:30,1.524343,44.341177,1,AWD,96,465.6
110,ihayes,coopersamantha@thomas.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2310.6,78,75696,24-02-2024,04:06:57,-151.048508,-71.341504,1,Front,94,455.9
111,amiller,stonebarbara@michael-ortega.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4409.61,78,97456,29-03-2024,04:16:11,-62.905564,41.613706,1,Front,56,271.6
112,tracy55,wrobinson@hotmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1686.45,82,53978,24-09-2024,06:17:22,-137.994071,-66.982212,1,AWD,33,160.05
113,daniellechavez,barrytanya@simpson.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3125.03,82,32198,20-10-2024,03:56:31,-152.127997,-56.548241,1,AWD,37,179.45
114,amberdavis,smithkenneth@lopez.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,3186.91,82,9285,08-04-2024,10:02:00,60.721763,8.123968,1,AWD,67,324.95
115,qduffy,wolfekevin@yahoo.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3527.35,82,49641,21-03-2024,15:46:22,147.216332,-42.400513,0,AWD,79,383.15
116,lreid,frowland@bell-scott.info,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,2806.38,82,50800,19-10-2024,08:20:42,100.487053,-22.570921,0,AWD,56,271.6
117,hendersonbrenda,yvang@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3237.38,82,64391,21-10-2024,03:17:30,-92.50639,61.653828,1,AWD,95,460.75
118,amy13,vjames@munoz.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2536.41,83.9,42820,30-04-2024,14:06:28,47.711816,-79.160093,0,Rear,34,164.9
119,arobinson,suttonbrittney@norman.net,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,3750.56,83.9,24255,28-06-2024,17:28:45,121.339613,-59.675764,1,Rear,87,421.95
120,isolis,brenda87@barrera.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1947.84,82,5719,22-04-2024,22:15:14,-77.36831,-33.171524,1,AWD,69,334.65
121,jrodriguez,timothywright@parsons-roman.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,2186.58,82,49878,18-01-2024,03:02:00,45.281513,34.304067,1,AWD,48,232.8
